SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
             2.98E-13  1.41E-13  7.28E-14  3.47E-14  1.16E-14  4.74E-15  1.85E-15  5.05E-16  1.84E-16
     3       4.93E-12  3.49E-12  2.20E-12  1.56E-12  1.10E-12  6.91E-13  4.84E-13  3.36E-13  2.03E-13  1.33E-13
             8.34E-14  4.04E-14  2.13E-14  1.03E-14  3.51E-15  1.44E-15  5.65E-16  1.55E-16  5.68E-17
     6       8.88E-14  6.28E-14  3.97E-14  2.81E-14  1.99E-14  1.27E-14  9.06E-15  6.53E-15  4.34E-15  3.27E-15
             2.52E-15  1.77E-15  1.29E-15  8.79E-16  4.59E-16  2.53E-16  1.28E-16  4.67E-17  2.02E-17
     7       1.42E-12  1.00E-12  6.34E-13  4.48E-13  3.17E-13  2.01E-13  1.42E-13  1.01E-13  6.41E-14  4.54E-14
             3.18E-14  1.93E-14  1.26E-14  7.75E-15  3.69E-15  1.94E-15  9.50E-16  3.36E-16  1.44E-16
     8       4.17E-13  2.95E-13  1.86E-13  1.32E-13  9.34E-14  5.92E-14  4.21E-14  3.00E-14  1.93E-14  1.38E-14
             9.85E-15  6.08E-15  4.03E-15  2.51E-15  1.21E-15  6.36E-16  3.13E-16  1.11E-16  4.76E-17
     9       5.15E-12  3.64E-12  2.30E-12  1.63E-12  1.15E-12  7.22E-13  5.06E-13  3.51E-13  2.11E-13  1.38E-13
             8.56E-14  4.09E-14  2.13E-14  1.02E-14  3.44E-15  1.41E-15  5.50E-16  1.51E-16  5.52E-17
    10       1.65E-12  1.17E-12  7.38E-13  5.22E-13  3.68E-13  2.32E-13  1.63E-13  1.13E-13  6.81E-14  4.47E-14
             2.78E-14  1.34E-14  6.98E-15  3.35E-15  1.13E-15  4.65E-16  1.82E-16  4.98E-17  1.82E-17
    11       5.56E-12  3.93E-12  2.48E-12  1.75E-12  1.23E-12  7.58E-13  5.18E-13  3.44E-13  1.85E-13  1.07E-13
             5.67E-14  2.13E-14  9.22E-15  3.73E-15  1.05E-15  3.87E-16  1.40E-16  3.60E-17  1.28E-17
    12       1.70E-12  1.20E-12  7.58E-13  5.34E-13  3.75E-13  2.32E-13  1.59E-13  1.06E-13  5.74E-14  3.34E-14
             1.78E-14  6.73E-15  2.92E-15  1.19E-15  3.34E-16  1.24E-16  4.48E-17  1.15E-17  4.09E-18
    27       5.92E-13  4.19E-13  2.65E-13  1.87E-13  1.33E-13  8.40E-14  5.95E-14  4.22E-14  2.68E-14  1.90E-14
             1.33E-14  7.96E-15  5.17E-15  3.17E-15  1.50E-15  7.87E-16  3.85E-16  1.36E-16  5.83E-17
    28       1.84E-13  1.30E-13  8.22E-14  5.82E-14  4.12E-14  2.61E-14  1.86E-14  1.32E-14  8.49E-15  6.05E-15
             4.27E-15  2.59E-15  1.69E-15  1.04E-15  4.97E-16  2.61E-16  1.28E-16  4.53E-17  1.94E-17
    29       2.29E-12  1.62E-12  1.02E-12  7.22E-13  5.10E-13  3.21E-13  2.25E-13  1.56E-13  9.38E-14  6.13E-14
             3.80E-14  1.81E-14  9.37E-15  4.48E-15  1.51E-15  6.17E-16  2.41E-16  6.59E-17  2.41E-17
    30       7.45E-13  5.27E-13  3.33E-13  2.35E-13  1.66E-13  1.05E-13  7.33E-14  5.10E-14  3.07E-14  2.01E-14
             1.25E-14  5.97E-15  3.10E-15  1.48E-15  5.00E-16  2.05E-16  7.98E-17  2.19E-17  8.00E-18
