SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   238     2    2S2 2P3 6F1         (1)1( 1.0)   515339.1*
   239     2    2S2 2P3 6F1         (1)5( 5.0)   515340.1*
   240     2    2S2 2P3 6F1         (3)2( 7.0)   515342.7*
   241     2    2S2 2P3 6F1         (1)2( 2.0)   515347.7*
   242     2    2S2 2P3 6F1         (3)1( 4.0)   515348.6*
   243     2    2S2 2P3 6F1         (1)4( 4.0)   515357.4*
   244     2    2S2 2P3 6F1         (1)3( 3.0)   515357.4*
   245     2    2S2 2P3 7S1         (3)2( 7.0)   517603.3*
   246     2    2S2 2P3 7S1         (1)2( 2.0)   517828.6*
   247     3    2S2 2P3 5P1         (1)0( 0.0)   518010.9*
   248     2    2S2 2P3 7P1         (3)2( 7.0)   519425.2*
   249     2    2S2 2P3 7P1         (1)1( 1.0)   519468.8*
   250     2    2S2 2P3 7P1         (3)3(10.0)   519496.7*
   251     2    2S2 2P3 7P1         (1)3( 3.0)   519590.9*
   252     3    2S2 2P3 5D1         (3)3(10.0)   520045.0*
   253     2    2S2 2P3 7P1         (3)1( 4.0)   520155.1*
   254     3    2S2 2P3 5D1         (3)1( 4.0)   520165.1*
   255     3    2S2 2P3 5D1         (1)2( 2.0)   520250.9*
   256     3    2S2 2P3 5D1         (3)2( 7.0)   520434.6*
   257     3    2S2 2P3 5D1         (1)3( 3.0)   520746.1*
   258     2    2S2 2P3 7P1         (1)2( 2.0)   520887.3*
   259     3    2S2 2P3 5G1         (3)3(10.0)   521187.5*
   260     3    2S2 2P3 5G1         (1)3( 3.0)   521187.5*
   261     3    2S2 2P3 5G1         (3)4(13.0)   521187.5*
   262     3    2S2 2P3 5G1         (1)4( 4.0)   521187.5*
   263     3    2S2 2P3 5G1         (3)5(16.0)   521187.5*
   264     3    2S2 2P3 5G1         (1)5( 5.0)   521187.5*
   265     3    2S2 2P3 5F1         (3)4(13.0)   521357.9*
   266     3    2S2 2P3 5F1         (3)2( 7.0)   521360.8*
   267     3    2S2 2P3 5F1         (1)3( 3.0)   521367.7*
   268     3    2S2 2P3 5F1         (3)3(10.0)   521370.6*
   269     3    2S2 2P3 5F1         (1)4( 4.0)   521377.8*
   270     3    2S2 2P3 5F1         (1)2( 2.0)   521390.0*
   271     3    2S2 2P3 5D1         (1)1( 1.0)   521438.7*
   272     2    2S2 2P3 7D1         (1)0( 0.0)   522082.0*
   273     2    2S2 2P3 7D1         (3)3(10.0)   522099.4*
   274     2    2S2 2P3 7D1         (3)4(13.0)   522138.0*
   275     2    2S2 2P3 7D1         (1)4( 4.0)   522175.4*
   276     2    2S2 2P3 7D1         (3)2( 7.0)   522210.5*
   277     2    2S2 2P3 7D1         (1)1( 1.0)   522264.3*
   278     2    2S2 2P3 7D1         (3)1( 4.0)   522346.8*
   279     2    2S2 2P3 7D1         (3)0( 1.0)   522435.9*
   280     2    2S2 2P3 7D1         (1)2( 2.0)   522517.4*
   281     2    2S2 2P3 7G1         (3)2( 7.0)   522565.6*
   282     2    2S2 2P3 7G1         (1)2( 2.0)   522565.6*
   283     2    2S2 2P3 7G1         (3)3(10.0)   522565.6*
   284     2    2S2 2P3 7G1         (1)3( 3.0)   522565.6*
   285     2    2S2 2P3 7G1         (3)4(13.0)   522565.6*
   286     2    2S2 2P3 7G1         (1)4( 4.0)   522565.6*
   287     2    2S2 2P3 7G1         (3)5(16.0)   522565.6*
   288     2    2S2 2P3 7G1         (1)5( 5.0)   522565.6*
   289     2    2S2 2P3 7G1         (3)6(19.0)   522565.6*
   290     2    2S2 2P3 7G1         (1)6( 6.0)   522565.6*
   291     2    2S2 2P3 7H1         (3)3(10.0)   522601.9*
   292     2    2S2 2P3 7H1         (1)3( 3.0)   522601.9*
   293     2    2S2 2P3 7H1         (3)4(13.0)   522601.9*
   294     2    2S2 2P3 7H1         (1)4( 4.0)   522601.9*
   295     2    2S2 2P3 7H1         (3)5(16.0)   522601.9*
   296     2    2S2 2P3 7H1         (1)5( 5.0)   522601.9*
   297     2    2S2 2P3 7H1         (3)6(19.0)   522601.9*
   298     2    2S2 2P3 7H1         (1)6( 6.0)   522601.9*
   299     2    2S2 2P3 7H1         (3)7(22.0)   522601.9*
   300     2    2S2 2P3 7H1         (1)7( 7.0)   522601.9*
   301     2    2S2 2P3 7D1         (1)3( 3.0)   522607.3*
   302     2    2S2 2P3 7I1         (3)4(13.0)   522618.1*
   303     2    2S2 2P3 7I1         (1)4( 4.0)   522618.1*
   304     2    2S2 2P3 7I1         (3)5(16.0)   522618.1*
   305     2    2S2 2P3 7I1         (1)5( 5.0)   522618.1*
   306     2    2S2 2P3 7I1         (3)6(19.0)   522618.1*
   307     2    2S2 2P3 7I1         (1)6( 6.0)   522618.1*
   308     2    2S2 2P3 7I1         (3)7(22.0)   522618.1*
   309     2    2S2 2P3 7I1         (1)7( 7.0)   522618.1*
   310     2    2S2 2P3 7I1         (3)8(25.0)   522618.1*
   311     2    2S2 2P3 7I1         (1)8( 8.0)   522618.1*
   312     2    2S2 2P3 7F1         (3)4(13.0)   522622.0*
   313     2    2S2 2P3 7F1         (3)5(16.0)   522623.9*
   314     2    2S2 2P3 7F1         (3)3(10.0)   522624.3*
   315     2    2S2 2P3 7F1         (1)1( 1.0)   522624.6*
   316     2    2S2 2P3 7F1         (1)5( 5.0)   522625.2*
   317     2    2S2 2P3 7F1         (3)2( 7.0)   522627.4*
   318     2    2S2 2P3 7F1         (1)2( 2.0)   522630.9*
   319     2    2S2 2P3 7F1         (3)1( 4.0)   522631.2*
   320     2    2S2 2P3 7F1         (1)3( 3.0)   522637.3*
   321     2    2S2 2P3 7F1         (1)4( 4.0)   522637.4*
   322     2    2S2 2P3 8S1         (3)2( 7.0)   524069.3*
   323     2    2S2 2P3 8S1         (1)2( 2.0)   524213.4*
   324     3    2S2 2P3 6S1         (3)1( 4.0)   525208.9*
   325     2    2S2 2P3 8P1         (3)2( 7.0)   525248.6*
   326     2    2S2 2P3 8P1         (1)1( 1.0)   525277.8*
   327     2    2S2 2P3 8P1         (3)3(10.0)   525294.9*
   328     2    2S2 2P3 8P1         (1)3( 3.0)   525356.1*
   329     3    2S2 2P3 6S1         (1)1( 1.0)   525590.7*
   330     2    2S2 2P3 8P1         (3)1( 4.0)   525718.5*
   331     2    2S2 2P3 8P1         (1)2( 2.0)   526197.9*
   332     2    2S2 2P3 8D1         (1)0( 0.0)   526986.4*
   333     2    2S2 2P3 8D1         (3)3(10.0)   526998.4*
   334     2    2S2 2P3 8D1         (3)4(13.0)   527024.2*
   335     2    2S2 2P3 8D1         (1)4( 4.0)   527049.4*
   336     2    2S2 2P3 8D1         (3)2( 7.0)   527072.9*
   337     2    2S2 2P3 8D1         (1)1( 1.0)   527110.1*
   338     2    2S2 2P3 8D1         (3)1( 4.0)   527165.1*
   339     2    2S2 2P3 8D1         (3)0( 1.0)   527225.1*
   340     2    2S2 2P3 8D1         (1)2( 2.0)   527280.9*
   341     2    2S2 2P3 8G1         (3)2( 7.0)   527314.4*
   342     2    2S2 2P3 8G1         (1)2( 2.0)   527314.4*
   343     2    2S2 2P3 8G1         (3)3(10.0)   527314.4*
   344     2    2S2 2P3 8G1         (1)3( 3.0)   527314.4*
   345     2    2S2 2P3 8G1         (3)4(13.0)   527314.4*
   346     2    2S2 2P3 8G1         (1)4( 4.0)   527314.4*
   347     2    2S2 2P3 8G1         (3)5(16.0)   527314.4*
   348     2    2S2 2P3 8G1         (1)5( 5.0)   527314.4*
   349     2    2S2 2P3 8G1         (3)6(19.0)   527314.4*
   350     2    2S2 2P3 8G1         (1)6( 6.0)   527314.4*
   351     2    2S2 2P3 8H1         (3)3(10.0)   527338.7*
