SEQ='B '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  24195433.6   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   114537.9 
     3          2S1 2P1             (1)1( 1.0)   226224.4*
     4          2P2                 (3)1( 4.0)   294287.6*
     5          2P2                 (1)2( 2.0)   329531.4*
     6          2P2                 (1)0( 0.0)   406862.2*

   LS RESOLVED TERM INDEXING            BWNR=  25455599.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
             4.41E-15  2.71E-15  1.81E-15  1.15E-15  5.71E-16  3.10E-16  1.57E-16  5.74E-17  2.51E-17
    65       7.08E-19  5.03E-19  3.21E-19  2.31E-19  1.70E-19  1.19E-19  9.76E-20  8.73E-20  8.15E-20  7.37E-20
             5.84E-20  3.31E-20  1.78E-20  8.40E-21  2.67E-21  1.04E-21  3.87E-22  1.02E-22  3.64E-23
    66       8.36E-13  5.91E-13  3.74E-13  2.64E-13  1.87E-13  1.18E-13  8.30E-14  5.81E-14  3.54E-14  2.35E-14
             1.49E-14  7.38E-15  3.95E-15  1.95E-15  6.80E-16  2.84E-16  1.13E-16  3.13E-17  1.15E-17
    67       1.54E-12  1.09E-12  6.85E-13  4.83E-13  3.39E-13  2.10E-13  1.44E-13  9.57E-14  5.19E-14  3.02E-14
             1.61E-14  6.13E-15  2.68E-15  1.10E-15  3.11E-16  1.15E-16  4.20E-17  1.08E-17  3.84E-18
    68       1.73E-12  1.22E-12  7.70E-13  5.40E-13  3.75E-13  2.27E-13  1.49E-13  9.30E-14  4.43E-14  2.27E-14
             1.05E-14  3.37E-15  1.32E-15  4.96E-16  1.31E-16  4.69E-17  1.67E-17  4.25E-18  1.50E-18
    69       1.42E-12  1.00E-12  6.27E-13  4.36E-13  2.99E-13  1.74E-13  1.09E-13  6.33E-14  2.67E-14  1.23E-14
