SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   292     2    2S2 2P4 8H1         (2)3( 6.5)   341582.8*
   293     2    2S2 2P4 8H1         (2)4( 8.5)   341582.8*
   294     2    2S2 2P4 8H1         (2)5(10.5)   341582.8*
   295     2    2S2 2P4 8H1         (2)6(12.5)   341582.8*
   296     2    2S2 2P4 8H1         (2)7(14.5)   341582.8*
   297     2    2S2 2P4 8F1         (2)5(10.5)   341589.3*
   298     2    2S2 2P4 8I1         (2)4( 8.5)   341589.6*
   299     2    2S2 2P4 8I1         (2)5(10.5)   341589.6*
   300     2    2S2 2P4 8I1         (2)6(12.5)   341589.6*
   301     2    2S2 2P4 8I1         (2)7(14.5)   341589.6*
   302     2    2S2 2P4 8I1         (2)8(16.5)   341589.6*
   303     2    2S2 2P4 8F1         (2)2( 4.5)   341593.0*
   304     2    2S2 2P4 8J1         (2)5(10.5)   341593.0*
   305     2    2S2 2P4 8J1         (2)6(12.5)   341593.0*
   306     2    2S2 2P4 8J1         (2)7(14.5)   341593.0*
   307     2    2S2 2P4 8J1         (2)8(16.5)   341593.0*
   308     2    2S2 2P4 8J1         (2)9(18.5)   341593.0*
   309     2    2S2 2P4 8F1         (2)3( 6.5)   341607.0*
   310     2    2S2 2P4 8F1         (2)4( 8.5)   341610.2*
   311     3    2S2 2P4 4D1         (2)2( 4.5)   347581.4*
   312     3    2S2 2P4 4F1         (2)3( 6.5)   347987.4*
   313     3    2S2 2P4 5S1         (2)0( 0.5)   348613.1*
   314     3    2S2 2P4 5P1         (2)1( 2.5)   352668.4*
   315     3    2S2 2P4 5D1         (2)2( 4.5)   357633.0*
   316     3    2S2 2P4 5G1         (2)4( 8.5)   357738.6*
   317     3    2S2 2P4 5F1         (2)3( 6.5)   357863.9*
   318     3    2S2 2P4 6S1         (2)0( 0.5)   358204.4*
   319     3    2S2 2P4 6P1         (2)1( 2.5)   360345.3*
   320     3    2S2 2P4 6D1         (2)2( 4.5)   363089.1*
   321     3    2S2 2P4 6G1         (2)4( 8.5)   363157.6*
