SEQ='C '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  25455599.3   NPRNTI= 2   NPRNTF= 7
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   305     2    2S1 2P2 7P1         (5)0( 2.0)  1047271.5*
   306     2    2S1 2P2 7P1         (3)1( 4.0)  1047685.7*
   307     4    2S1 2P2 4P1         (3)1( 4.0)  1048081.0*
   308     2    2S1 2P2 7D1         (5)3(17.0)  1048799.7*
   309     2    2S1 2P2 7D1         (5)2(12.0)  1049099.1*
   310     2    2S1 2P2 7D1         (5)1( 7.0)  1049492.9*
   311     2    2S1 2P2 7D1         (3)1( 4.0)  1049639.8*
   312     2    2S1 2P2 7D1         (3)3(10.0)  1050230.8*
   313     2    2S1 2P2 7F1         (5)2(12.0)  1050421.1*
   314     2    2S1 2P2 7F1         (5)4(22.0)  1050449.7*
   315     2    2S1 2P2 7F1         (3)2( 7.0)  1050474.9*
   316     2    2S1 2P2 7G1         (5)3(17.0)  1050566.7*
   317     2    2S1 2P2 7G1         (3)3(10.0)  1050566.7*
   318     2    2S1 2P2 7G1         (5)4(22.0)  1050566.7*
   319     2    2S1 2P2 7G1         (3)4(13.0)  1050566.7*
   320     2    2S1 2P2 7G1         (5)5(27.0)  1050566.7*
   321     2    2S1 2P2 7G1         (3)5(16.0)  1050566.7*
   322     2    2S1 2P2 7F1         (3)4(13.0)  1050592.3*
   323     2    2S1 2P2 7H1         (5)4(22.0)  1050618.3*
   324     2    2S1 2P2 7H1         (3)4(13.0)  1050618.3*
   325     2    2S1 2P2 7H1         (5)5(27.0)  1050618.3*
   326     2    2S1 2P2 7H1         (3)5(16.0)  1050618.3*
   327     2    2S1 2P2 7H1         (5)6(32.0)  1050618.3*
   328     2    2S1 2P2 7H1         (3)6(19.0)  1050618.3*
   329     2    2S1 2P2 7I1         (5)5(27.0)  1050641.3*
   330     2    2S1 2P2 7I1         (3)5(16.0)  1050641.3*
   331     2    2S1 2P2 7I1         (5)6(32.0)  1050641.3*
   332     2    2S1 2P2 7I1         (3)6(19.0)  1050641.3*
   333     2    2S1 2P2 7I1         (5)7(37.0)  1050641.3*
   334     2    2S1 2P2 7I1         (3)7(22.0)  1050641.3*
   335     2    2S1 2P2 7F1         (5)3(17.0)  1050697.0*
   336     2    2S1 2P2 7D1         (3)2( 7.0)  1050789.2*
   337     2    2S1 2P2 7F1         (3)3(10.0)  1050872.3*
   338     5    2S1 2P2 4S1         (3)1( 4.0)  1055434.9*
   339     2    2S1 2P2 8S1         (5)1( 7.0)  1058828.3*
   340     2    2S1 2P2 8S1         (3)1( 4.0)  1059597.6*
   341     2    2S1 2P2 8P1         (5)2(12.0)  1060677.1*
   342     2    2S1 2P2 8P1         (3)0( 1.0)  1060729.5*
   343     2    2S1 2P2 8P1         (5)1( 7.0)  1060816.3*
   344     2    2S1 2P2 8P1         (3)2( 7.0)  1061515.7*
   345     2    2S1 2P2 8P1         (5)0( 2.0)  1061528.0*
   346     2    2S1 2P2 8P1         (3)1( 4.0)  1061805.7*
   347     2    2S1 2P2 8D1         (5)3(17.0)  1062542.2*
   348     2    2S1 2P2 8D1         (5)2(12.0)  1062739.2*
   349     2    2S1 2P2 8D1         (5)1( 7.0)  1063003.5*
   350     2    2S1 2P2 8D1         (3)1( 4.0)  1063102.3*
   351     2    2S1 2P2 8D1         (3)3(10.0)  1063494.6*
   352     2    2S1 2P2 8F1         (5)2(12.0)  1063624.0*
   353     2    2S1 2P2 8F1         (5)4(22.0)  1063640.9*
   354     2    2S1 2P2 8F1         (3)2( 7.0)  1063661.6*
   355     2    2S1 2P2 8G1         (5)3(17.0)  1063724.1*
   356     2    2S1 2P2 8G1         (3)3(10.0)  1063724.1*
   357     2    2S1 2P2 8G1         (5)4(22.0)  1063724.1*
   358     2    2S1 2P2 8G1         (3)4(13.0)  1063724.1*
   359     2    2S1 2P2 8G1         (5)5(27.0)  1063724.1*
   360     2    2S1 2P2 8G1         (3)5(16.0)  1063724.1*
   361     2    2S1 2P2 8F1         (3)4(13.0)  1063740.6*
   362     2    2S1 2P2 8H1         (5)4(22.0)  1063758.7*
   363     2    2S1 2P2 8H1         (3)4(13.0)  1063758.7*
   364     2    2S1 2P2 8H1         (5)5(27.0)  1063758.7*
   365     2    2S1 2P2 8H1         (3)5(16.0)  1063758.7*
   366     2    2S1 2P2 8H1         (5)6(32.0)  1063758.7*
   367     2    2S1 2P2 8H1         (3)6(19.0)  1063758.7*
   368     2    2S1 2P2 8I1         (5)5(27.0)  1063774.1*
   369     2    2S1 2P2 8I1         (3)5(16.0)  1063774.1*
   370     2    2S1 2P2 8I1         (5)6(32.0)  1063774.1*
   371     2    2S1 2P2 8I1         (3)6(19.0)  1063774.1*
   372     2    2S1 2P2 8I1         (5)7(37.0)  1063774.1*
   373     2    2S1 2P2 8I1         (3)7(22.0)  1063774.1*
   374     2    2S1 2P2 8J1         (5)6(32.0)  1063781.9*
   375     2    2S1 2P2 8J1         (3)6(19.0)  1063781.9*
   376     2    2S1 2P2 8J1         (5)7(37.0)  1063781.9*
