	iz	LowerstatenameImpZeff	UpperstatenameImpZeff	rate(s-1)	Acc	E_i(cm-1)	E_k(cm-1)	Lowerconf	Lowerterm	LowerJ	Upperconf	Upperterm	UpperJ
130	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[3/2]	5.00E+04	D	43.4134567	88543.5	2s22p2	3P	2	2s22p(2P^1/2)7d	2[3/2]^0	2
131	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[5/2]	4.80E+05	C	16.416713	88498.63	2s22p2	3P	1	2s22p(2P^1/2)7d	2[5/2]^0	2
132	0	2s2,2p2 3P	2s2,2p(2P^1/2)7d1 2[5/2]	3.00E+05	C	43.4134567	88498.63	2s22p2	3P	2	2s22p(2P^1/2)7d	2[5/2]^0	2
133	0	2s2,2p2 3P	2s2,2p1,6d1 3P	4.10E+06	C+	0	87843.93	2s22p2	3P	0	2s22p6d	3P^0	1
134	0	2s2,2p2 3P	2s2,2p1,6d1 1P	1.70E+06	C+	0	87830.18	2s22p2	3P	0	2s22p6d	1P^0	1
135	0	2s2,2p2 3P	2s2,2p1,6d1 3P	2.31E+07	B	16.416713	87845.1	2s22p2	3P	1	2s22p6d	3P^0	0
136	0	2s2,2p2 3P	2s2,2p1,6d1 3P	7.30E+06	C+	16.416713	87843.93	2s22p2	3P	1	2s22p6d	3P^0	1
137	0	2s2,2p2 3P	2s2,2p1,6d1 3P	1.90E+05	C	16.416713	87832.568	2s22p2	3P	1	2s22p6d	3P^0	2
138	0	2s2,2p2 3P	2s2,2p1,6d1 1P	9.90E+05	C	16.416713	87830.18	2s22p2	3P	1	2s22p6d	1P^0	1
139	0	2s2,2p2 3P	2s2,2p1,6d1 3P	9.00E+06	C+	43.4134567	87843.93	2s22p2	3P	2	2s22p6d	3P^0	1
140	0	2s2,2p2 3P	2s2,2p1,7s1 1P	9.30E+05	C	0	87789.646	2s22p2	3P	0	2s22p7s	1P^0	1
141	0	2s2,2p2 3P	2s2,2p1,6d1 3P	1.60E+07	B	43.4134567	87832.568	2s22p2	3P	2	2s22p6d	3P^0	2
